Région,AE,CAP,Cercle,Commune,NOM_ETABLISSEMENT,Localites,X,Y,CODE_ETABLISSEMENT,Localisation,CYCLE,STATUT,PRESENCE_RESTAURANT,PRESENCE_LATRINES,LATRINES_FILLES_SEPAREES,NOMBRE_LATRINES,EAU_POTABLE,GARCONS,FILLES,TOTAL,NBRE ENSEIGNANTS
BAMAKO,BAMAKO RIVE GAUCHE,SEBENICORO,BAMAKO,COMMUNE IV, ABDRAHAMANE DIALLO,,,,11073468,A localiser,1er cycle,Privé laïc,0,1,0,4,1) robinet ,35,29,64,9
BAMAKO,BAMAKO RIVE DROITE,FALADIE,BAMAKO,COMMUNE VI, ATTAHAZIBIATOU,,,,11074493,A localiser,2ème cycle,Medersa,0,1,0,2,5) pas de point d'eau,26,23,49,7
BAMAKO,BAMAKO RIVE DROITE,KALABAN COURA,BAMAKO,COMMUNE V, ECOLE PRIVEE LAROUSSE,,,,11074981,A localiser,1er cycle,Privé laïc,0,1,0,2,1) robinet ,118,134,252,8
BAMAKO,BAMAKO RIVE GAUCHE,SEBENICORO,BAMAKO,COMMUNE IV, LA REFERENCE,,,,11073466,A localiser,1er cycle,Privé laïc,0,1,1,2,5) pas de point d'eau,19,21,40,4
BAMAKO,BAMAKO RIVE DROITE,TOROKOROBOUGOU,BAMAKO,COMMUNE V,A.E.CO.DA [1er C],,-7.9804333333,12.6102333333,766677,,1er cycle,Communautaire,0,1,0,5,1) robinet ,494,432,926,9
BAMAKO,BAMAKO RIVE DROITE,TOROKOROBOUGOU,BAMAKO,COMMUNE V,A.E.CO.DA [2ème C],,-7.9804333333,12.6102333333,11040468,,2ème cycle,Communautaire,0,1,0,5,1) robinet ,83,80,163,4
BAMAKO,BAMAKO RIVE DROITE,TOROKOROBOUGOU,BAMAKO,COMMUNE V,A.P.E.C. DA [1er C],,-7.9818,12.5895833333,766685,,1er cycle,Communautaire,0,1,1,2,5) pas de point d'eau,442,419,861,6
BAMAKO,BAMAKO RIVE DROITE,TOROKOROBOUGOU,BAMAKO,COMMUNE V,A.P.E.C. DA [2ème C],,-7.9818,12.5895833333,11040475,,2ème cycle,Communautaire,0,1,1,3,5) pas de point d'eau,78,73,151,4
BAMAKO,BAMAKO RIVE DROITE,KALABAN COURA,BAMAKO,COMMUNE V,ABBA TOURE [1er C],,-7.9979833333,12.5521833333,729077,,1er cycle,Privé laïc,0,1,0,4,3) puits non tarrissable,230,266,496,13
BAMAKO,BAMAKO RIVE DROITE,KALABAN COURA,BAMAKO,COMMUNE V,ABBA TOURE [2ème C],,-7.9979833333,12.5521833333,11040202,,2ème cycle,Privé laïc,0,1,0,4,5) pas de point d'eau,125,106,231,12
BAMAKO,BAMAKO RIVE DROITE,KALABAN COURA,BAMAKO,COMMUNE V,ABDOUL KADRI [1er C],,-7.9893,12.57687,729070,,1er cycle,Privé laïc,0,1,0,2,3) puits non tarrissable,95,121,216,7
BAMAKO,BAMAKO RIVE DROITE,KALABAN COURA,BAMAKO,COMMUNE V,ABDOUL KADRI [2ème C],,-7.9893,12.57687,11040198,,2ème cycle,Privé laïc,0,1,0,2,3) puits non tarrissable,22,24,46,10
BAMAKO,BAMAKO RIVE DROITE,TOROKOROBOUGOU,BAMAKO,COMMUNE V,ABO-ONO [1er C],,-7.9895,12.60095,766683,,1er cycle,Privé laïc,0,1,0,5,1) robinet ,130,128,258,8
BAMAKO,BAMAKO RIVE DROITE,TOROKOROBOUGOU,BAMAKO,COMMUNE V,ABO-ONO [2ème C],,-7.9895,12.60095,11040473,,2ème cycle,Privé laïc,0,1,0,5,1) robinet ,40,41,81,11
BAMAKO,BAMAKO RIVE DROITE,FALADIE,BAMAKO,COMMUNE VI,ABOUBACAR SIDIKI,,,,11074484,A localiser,1er cycle,Privé laïc,0,0,,,5) pas de point d'eau,58,59,117,5
BAMAKO,BAMAKO RIVE DROITE,FALADIE,BAMAKO,COMMUNE VI,ABRAHAM LINCOLN,,,,722862,A localiser,1er cycle,Privé laïc,0,1,0,2,3) puits non tarrissable,139,163,302,8
BAMAKO,BAMAKO RIVE DROITE,BANANKABOUGOU,BAMAKO,COMMUNE VI,AHMADOU HAMPATE BA [1er C],,,,943544,A localiser,1er cycle,Privé laïc,0,1,1,2,1) robinet ,125,126,251,11
BAMAKO,BAMAKO RIVE DROITE,BANANKABOUGOU,BAMAKO,COMMUNE VI,AHMADOU HAMPATE BA [2ème C],,,,11040580,A localiser,2ème cycle,Privé laïc,0,1,1,3,1) robinet ,37,35,72,11
BAMAKO,BAMAKO RIVE GAUCHE,CENTRE COMMERCIAL,BAMAKO,COMMUNE III,AHMADOU LY A,,,,715000,A localiser,1er cycle,Public,0,1,0,9,1) robinet ,148,186,334,7
BAMAKO,BAMAKO RIVE GAUCHE,CENTRE COMMERCIAL,BAMAKO,COMMUNE III,AHMADOU LY B,,,,715001,A localiser,1er cycle,Public,0,1,0,4,1) robinet ,141,169,310,7
BAMAKO,BAMAKO RIVE GAUCHE,SEBENICORO,BAMAKO,COMMUNE IV,AHMED BABA [1er C],,,,757041,A localiser,1er cycle,Privé laïc,0,1,0,40,1) robinet ,64,67,131,8
BAMAKO,BAMAKO RIVE GAUCHE,SEBENICORO,BAMAKO,COMMUNE IV,AHMED BABA [2ème C],,,,11040418,A localiser,2ème cycle,Privé laïc,0,1,1,4,1) robinet ,77,76,153,2
BAMAKO,BAMAKO RIVE GAUCHE,DJELIBOUGOU,BAMAKO,COMMUNE I,AHMED S. TOURE [1er C],,,,719021,A localiser,1er cycle,Privé laïc,0,1,0,2,1) robinet ,55,61,116,6
BAMAKO,BAMAKO RIVE GAUCHE,DJELIBOUGOU,BAMAKO,COMMUNE I,AHMED S. TOURE [2ème C],,,,11040083,A localiser,2ème cycle,Privé laïc,0,1,0,2,1) robinet ,19,18,37,10
BAMAKO,BAMAKO RIVE DROITE,FALADIE,BAMAKO,COMMUNE VI,AÏCHA O. TOURE [1er C],,,,722005,A localiser,1er cycle,Privé laïc,0,1,0,1,5) pas de point d'eau,200,180,380,7
BAMAKO,BAMAKO RIVE DROITE,FALADIE,BAMAKO,COMMUNE VI,AÏCHA O. TOURE [2ème C],,,,11040102,A localiser,2ème cycle,Privé laïc,0,1,0,2,3) puits non tarrissable,47,30,77,7
BAMAKO,BAMAKO RIVE DROITE,KALABAN COURA,BAMAKO,COMMUNE V,AISSE AHMADOU SANGARE [1er C],,-8.03057,12.59177,729010,,1er cycle,Privé laïc,0,1,0,1,1) robinet ,128,143,271,
BAMAKO,BAMAKO RIVE DROITE,KALABAN COURA,BAMAKO,COMMUNE V,AISSE AHMADOU SANGARE [2ème C],,-8.03057,12.59177,11040178,,2ème cycle,Privé laïc,0,1,0,1,1) robinet ,8,10,18,
BAMAKO,BAMAKO RIVE DROITE,TOROKOROBOUGOU,BAMAKO,COMMUNE V,AKC DIT CABRAL [1er C],,-7.99025,12.6203666667,766699,,1er cycle,Privé laïc,0,1,0,5,1) robinet ,230,205,435,11
BAMAKO,BAMAKO RIVE DROITE,TOROKOROBOUGOU,BAMAKO,COMMUNE V,AKC DIT CABRAL [2ème C],,-7.99065,12.6202,11040485,,2ème cycle,Privé laïc,0,1,0,5,1) robinet ,79,132,211,11
BAMAKO,BAMAKO RIVE GAUCHE,BANCONI,BAMAKO,COMMUNE I,AL  AZIHAROU,,,,978840,A localiser,1er cycle,Medersa,0,0,,,5) pas de point d'eau,46,50,96,5
BAMAKO,BAMAKO RIVE DROITE,TOROKOROBOUGOU,BAMAKO,COMMUNE V,AL AMIR [1er C],,,,766022,A localiser,1er cycle,Privé confessionnel,0,1,0,6,2) forage fonctionnel,195,173,368,10
BAMAKO,BAMAKO RIVE DROITE,TOROKOROBOUGOU,BAMAKO,COMMUNE V,AL AMIR [2ème C],,,,11040467,A localiser,2ème cycle,Privé confessionnel,0,1,0,6,2) forage fonctionnel,79,57,136,4
BAMAKO,BAMAKO RIVE GAUCHE,BANCONI,BAMAKO,COMMUNE I,AL AZIHAROU,,,,11069989,A localiser,2ème cycle,Medersa,0,0,,,5) pas de point d'eau,1,4,5,3
BAMAKO,BAMAKO RIVE DROITE,FALADIE,BAMAKO,COMMUNE VI,AL BARKA,,,,1068677,A localiser,1er cycle,Medersa,0,1,0,1,1) robinet ,35,23,58,4
BAMAKO,BAMAKO RIVE DROITE,FALADIE,BAMAKO,COMMUNE VI,AL CORANIA,,,,943457,A localiser,1er cycle,Medersa,0,1,0,1,3) puits non tarrissable,48,37,85,4
BAMAKO,BAMAKO RIVE GAUCHE,BOZOLA,BAMAKO,COMMUNE II,AL FALAHI WANADIAHI [1er C],,,,714698,A localiser,1er cycle,Medersa,0,1,0,6,3) puits non tarrissable,263,252,515,9
BAMAKO,BAMAKO RIVE GAUCHE,BOZOLA,BAMAKO,COMMUNE II,AL FALAHI WANADIAHI [2ème C],,,,11040073,A localiser,2ème cycle,Medersa,0,1,0,6,5) pas de point d'eau,59,59,118,10
BAMAKO,BAMAKO RIVE DROITE,KALABAN COURA,BAMAKO,COMMUNE V,AL HANSARIATOU [1er C],,,,729114,A localiser,1er cycle,Medersa,0,1,0,3,4) puits tarrissable,85,150,235,8
BAMAKO,BAMAKO RIVE DROITE,BANANKABOUGOU,BAMAKO,COMMUNE VI,AL IDAYATOU ISLAMIYATOU,,,,706710,A localiser,1er cycle,Medersa,0,1,0,2,5) pas de point d'eau,86,37,123,6
BAMAKO,BAMAKO RIVE DROITE,FALADIE,BAMAKO,COMMUNE VI,AL KAOU BLEN [1er C],,,,722009,A localiser,1er cycle,Privé laïc,0,1,0,1,5) pas de point d'eau,180,154,334,7
BAMAKO,BAMAKO RIVE DROITE,FALADIE,BAMAKO,COMMUNE VI,AL KAOU BLEN [2ème C],,,,11040104,A localiser,2ème cycle,Privé laïc,0,1,0,2,1) robinet ,84,73,157,7
BAMAKO,BAMAKO RIVE DROITE,FALADIE,BAMAKO,COMMUNE VI,AL MOUSTAPHA SANOGO,,,,11074476,A localiser,1er cycle,Privé laïc,0,1,0,4,2) forage fonctionnel,54,59,113,7
BAMAKO,BAMAKO RIVE DROITE,FALADIE,BAMAKO,COMMUNE VI,ALFATIMIYA,,,,722070,A localiser,1er cycle,Medersa,0,1,0,2,1) robinet ,30,37,67,5
BAMAKO,BAMAKO RIVE DROITE,FALADIE,BAMAKO,COMMUNE VI,ALIFAS,,,,950053,A localiser,1er cycle,Privé laïc,0,1,0,2,1) robinet ,102,88,190,7
BAMAKO,BAMAKO RIVE DROITE,FALADIE,BAMAKO,COMMUNE VI,ALIFAS,,,,11074496,A localiser,2ème cycle,Privé laïc,0,1,0,2,3) puits non tarrissable,25,35,60,9
BAMAKO,BAMAKO RIVE GAUCHE,HIPPODROME,BAMAKO,COMMUNE II,ALIOUNE  BLONDIN   BEYE,,,,979132,A localiser,1er cycle,Privé laïc,0,1,1,4,1) robinet ,180,174,354,7
BAMAKO,BAMAKO RIVE DROITE,FALADIE,BAMAKO,COMMUNE VI,ALKOUFAOU AL ISLAMIA,,,,11074472,A localiser,1er cycle,Medersa,0,1,0,4,4) puits tarrissable,18,55,73,6
BAMAKO,BAMAKO RIVE DROITE,BANANKABOUGOU,BAMAKO,COMMUNE VI,ALOU TRAORE,,,,11073973,A localiser,1er cycle,Privé laïc,0,1,0,4,5) pas de point d'eau,122,136,258,5
BAMAKO,BAMAKO RIVE DROITE,FALADIE,BAMAKO,COMMUNE VI,ALPHA KABINE DIAKITE [1er C],,,,979547,A localiser,1er cycle,Privé laïc,0,1,1,2,5) pas de point d'eau,138,109,247,7
BAMAKO,BAMAKO RIVE DROITE,FALADIE,BAMAKO,COMMUNE VI,ALPHA KABINE DIAKITE [2ème C],,,,11040710,A localiser,2ème cycle,Privé laïc,0,1,1,2,4) puits tarrissable,27,32,59,6
BAMAKO,BAMAKO RIVE DROITE,KALABAN COURA,BAMAKO,COMMUNE V,ALPHA OUMAR KONARE [1er C],,-8.01588,12.58957,1069180,,1er cycle,Privé laïc,0,1,0,4,1) robinet ,130,125,255,9
BAMAKO,BAMAKO RIVE DROITE,KALABAN COURA,BAMAKO,COMMUNE V,ALPHA OUMAR KONARE [2ème C],,-8.01588,12.58957,11040773,,2ème cycle,Privé laïc,0,1,0,4,1) robinet ,39,33,72,5
BAMAKO,BAMAKO RIVE GAUCHE,BANCONI,BAMAKO,COMMUNE I,ALTINE SISSOKO,,-7.9592666667,12.6890333333,11069964,,1er cycle,Privé laïc,0,1,0,2,5) pas de point d'eau,117,73,190,6
BAMAKO,BAMAKO RIVE DROITE,FALADIE,BAMAKO,COMMUNE VI,AMADOU CAMARA,,,,11036957,A localiser,1er cycle,Privé laïc,0,1,0,3,3) puits non tarrissable,135,109,244,6
BAMAKO,BAMAKO RIVE DROITE,FALADIE,BAMAKO,COMMUNE VI,AMADOU COULIBALY,,,,11074492,A localiser,2ème cycle,Privé laïc,0,1,1,4,1) robinet ,45,42,87,6
BAMAKO,BAMAKO RIVE DROITE,KALABAN COURA,BAMAKO,COMMUNE V,AMADOU HAMPÂTE BAH [1er C],,-8.00793,12.59341,729110,,1er cycle,Privé laïc,0,1,0,1,5) pas de point d'eau,152,136,288,7
BAMAKO,BAMAKO RIVE DROITE,KALABAN COURA,BAMAKO,COMMUNE V,AMADOU HAMPÂTE BAH [2ème C],,-8.00793,12.59341,11040217,,2ème cycle,Privé laïc,0,1,0,1,5) pas de point d'eau,61,37,98,7
BAMAKO,BAMAKO RIVE GAUCHE,SEBENICORO,BAMAKO,COMMUNE IV,AMADOU TOUMANI TOURE  ANNEXE,,,,757033,A localiser,1er cycle,Privé laïc,0,1,1,2,1) robinet ,154,128,282,8
BAMAKO,BAMAKO RIVE GAUCHE,DJELIBOUGOU,BAMAKO,COMMUNE I,AMI  FAYE,,-7.9465333333,12.69075,954584,,1er cycle,Privé laïc,0,1,1,2,5) pas de point d'eau,158,160,318,7
BAMAKO,BAMAKO RIVE GAUCHE,DJELIBOUGOU,BAMAKO,COMMUNE I,AMI FAYE,,-7.9465333333,12.69075,11070469,,2ème cycle,Privé laïc,0,1,1,2,5) pas de point d'eau,30,49,79,3
BAMAKO,BAMAKO RIVE DROITE,FALADIE,BAMAKO,COMMUNE VI,AMINA BABA [1er C],,,,979548,A localiser,1er cycle,Privé laïc,0,1,0,3,3) puits non tarrissable,50,44,94,6
BAMAKO,BAMAKO RIVE DROITE,FALADIE,BAMAKO,COMMUNE VI,AMINA BABA [2ème C],,,,11040711,A localiser,2ème cycle,Privé laïc,0,1,0,3,3) puits non tarrissable,38,30,68,6
BAMAKO,BAMAKO RIVE GAUCHE,LAFIABOUGOU,BAMAKO,COMMUNE IV,AMINATA DIOP I,,,,745049,A localiser,2ème cycle,Public,0,0,,,1) robinet ,218,234,452,9
BAMAKO,BAMAKO RIVE GAUCHE,LAFIABOUGOU,BAMAKO,COMMUNE IV,AMINATA DIOP II,,,,745050,A localiser,2ème cycle,Public,0,1,0,3,1) robinet ,207,254,461,11
BAMAKO,BAMAKO RIVE GAUCHE,LAFIABOUGOU,BAMAKO,COMMUNE IV,AMINATA DIOP III,,,,745051,A localiser,2ème cycle,Public,0,1,0,1,1) robinet ,238,282,520,11
BAMAKO,BAMAKO RIVE GAUCHE,LAFIABOUGOU,BAMAKO,COMMUNE IV,AMINATA DIOP IV,,,,745052,A localiser,2ème cycle,Public,0,1,0,6,1) robinet ,225,265,490,12
